,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
198,100,10,5,4,2,2,19,17,1,0.6763927936553955,0.0002930164337158203,0.00015783309936523438
199,100,10,5,3,2,2,20,20,1,0.727698564529419,0.0004477500915527344,0.00030922889709472656
200,101,10,5,4,2,2,19,17,1,0.5326118469238281,0.00031065940856933594,0.00015473365783691406
201,101,10,5,3,2,2,20,20,1,0.5913512706756592,0.0003371238708496094,0.00027561187744140625
202,102,10,5,4,2,2,19,17,1,0.6847758293151855,0.0004177093505859375,0.0003352165222167969
203,102,10,5,3,2,2,20,20,1,0.7559070587158203,0.0003497600555419922,0.00027179718017578125
204,103,10,5,4,2,2,29,26,2,0.8646724224090576,0.0003674030303955078,0.00028061866760253906
205,103,10,5,3,2,2,30,30,1,0.8831455707550049,0.0003936290740966797,0.0004756450653076172
206,104,10,5,4,2,2,19,17,1,0.6917366981506348,0.00030422210693359375,0.0001685619354248047
207,104,10,5,3,2,2,20,20,1,0.7486824989318848,0.0003478527069091797,0.0002808570861816406
208,105,10,5,4,2,2,19,17,1,0.6704800128936768,0.0003325939178466797,0.00017905235290527344
209,105,10,5,3,2,2,20,20,1,0.6823198795318604,0.0003726482391357422,0.0002834796905517578
210,106,10,5,4,2,2,19,17,1,0.6675577163696289,0.000316619873046875,0.00018334388732910156
211,106,10,5,3,2,2,20,20,1,0.7001073360443115,0.00042891502380371094,0.0003483295440673828
212,107,10,5,4,2,2,19,17,1,0.7441585063934326,0.0003457069396972656,0.0002014636993408203
213,107,10,5,3,2,2,20,20,1,0.7566533088684082,0.00040149688720703125,0.0003209114074707031
214,108,10,5,4,2,2,29,52,1024,1.0122902393341064,0.00034689903259277344,0.03566622734069824
215,108,10,5,3,2,2,30,60,1024,0.8328838348388672,0.0003032684326171875,0.10770368576049805
216,109,10,5,4,2,2,59,175,98415,1.098013162612915,0.0003592967987060547,6.987214088439941
217,109,10,5,3,2,2,60,200,59049,1.1740193367004395,0.00035381317138671875,28.80911922454834
218,110,10,5,4,2,2,28,50,512,0.7863690853118896,0.00041365623474121094,0.017185449600219727
219,110,10,5,3,2,2,30,60,1024,0.8654897212982178,0.0001995563507080078,0.11354231834411621
220,111,10,5,4,2,2,19,17,1,0.6852226257324219,0.0003218650817871094,0.0001742839813232422
221,111,10,5,3,2,2,20,20,1,0.7563920021057129,0.0003266334533691406,0.0002276897430419922
222,112,10,5,4,2,2,29,52,1024,0.7216067314147949,0.0002346038818359375,0.029184579849243164
223,112,10,5,3,2,2,30,60,1024,0.7020339965820312,0.00044655799865722656,0.10257935523986816
224,113,10,5,4,2,2,19,17,1,0.6327028274536133,0.00038552284240722656,0.00016760826110839844
225,113,10,5,3,2,2,20,20,1,0.6878368854522705,0.0004284381866455078,0.0003008842468261719
226,114,10,5,4,2,2,19,17,1,0.7000024318695068,0.0005056858062744141,0.000274658203125
227,114,10,5,3,2,2,20,20,1,0.733217716217041,0.00040411949157714844,0.0003154277801513672
228,115,10,5,4,2,2,19,17,1,0.6391515731811523,0.0003230571746826172,0.00017786026000976562
229,115,10,5,3,2,2,20,20,1,0.6591637134552002,0.00036597251892089844,0.0002925395965576172
230,116,10,5,4,2,2,19,17,1,0.6755099296569824,0.0003237724304199219,0.00017833709716796875
231,116,10,5,3,2,2,20,20,1,0.8406786918640137,0.0004215240478515625,0.0003237724304199219
232,117,10,5,4,2,2,19,17,1,0.8825032711029053,0.0002853870391845703,0.00015354156494140625
233,117,10,5,3,2,2,20,20,1,1.1937675476074219,0.0003829002380371094,0.000293731689453125
234,118,10,5,4,2,2,38,68,1024,0.9477620124816895,0.0007534027099609375,0.055387020111083984
235,118,10,5,3,2,2,40,80,1024,0.9921474456787109,0.0003497600555419922,0.22597479820251465
236,119,10,5,4,2,2,38,68,1024,1.1201026439666748,0.00031566619873046875,0.043982744216918945
237,119,10,5,3,2,2,40,80,1024,1.0697720050811768,0.00032019615173339844,0.17205452919006348
238,120,10,5,4,2,2,28,25,1,0.7865078449249268,0.00027561187744140625,0.00017786026000976562
239,120,10,5,3,2,2,30,30,1,0.8291668891906738,0.00046634674072265625,0.0006840229034423828
240,121,10,5,4,2,2,19,17,1,0.7257919311523438,0.0002338886260986328,0.00018477439880371094
241,121,10,5,3,2,2,20,20,1,0.826561689376831,0.0003478527069091797,0.00027251243591308594
242,122,10,5,4,2,2,19,17,1,0.7169735431671143,0.00043487548828125,0.00030684471130371094
243,122,10,5,3,2,2,20,20,1,0.7418947219848633,0.000518798828125,0.00042700767517089844
244,123,10,5,4,2,2,29,52,1024,0.8204061985015869,0.0003669261932373047,0.024819374084472656
245,123,10,5,3,2,2,30,60,1024,0.8490381240844727,0.00044536590576171875,0.08399653434753418
246,124,10,5,4,2,2,19,17,1,0.5514450073242188,0.00032019615173339844,0.00016880035400390625
247,124,10,5,3,2,2,20,20,1,0.6138579845428467,0.0003712177276611328,0.0002696514129638672
